id,kode_sumber,entitas_parent,entitas_child,kategori,tahun,periode,nilai,created_at
167,s20102ptadhkmp2011,Pengeluaran Konsumsi Rumahtangga,"Makanan dan Minuman, Selain Restoran",nan,2011,Triwulan II,367145.02,2026-07-09 11:56:13.319
168,s20102ptadhkmp2011,Pengeluaran Konsumsi Rumahtangga,"Makanan dan Minuman, Selain Restoran",nan,2011,Triwulan III,379221.16,2026-07-09 11:56:13.319
169,s20102ptadhkmp2011,Pengeluaran Konsumsi Rumahtangga,"Makanan dan Minuman, Selain Restoran",nan,2011,Triwulan IV,379508.62,2026-07-09 11:56:13.319
170,s20102ptadhkmp2011,Pengeluaran Konsumsi Rumahtangga,"Makanan dan Minuman, Selain Restoran",nan,2011,Tahunan,1489545.17,2026-07-09 11:56:13.319
171,s20102ptadhkmp2011,Pengeluaran Konsumsi Rumahtangga,"Pakaian, Alas Kaki dan Jasa Perawatannya",nan,2011,Triwulan I,39343.59,2026-07-09 11:56:13.319
172,s20102ptadhkmp2011,Pengeluaran Konsumsi Rumahtangga,"Pakaian, Alas Kaki dan Jasa Perawatannya",nan,2011,Triwulan II,39887.97,2026-07-09 11:56:13.319
173,s20102ptadhkmp2011,Pengeluaran Konsumsi Rumahtangga,"Pakaian, Alas Kaki dan Jasa Perawatannya",nan,2011,Triwulan III,41852.42,2026-07-09 11:56:13.319
174,s20102ptadhkmp2011,Pengeluaran Konsumsi Rumahtangga,"Pakaian, Alas Kaki dan Jasa Perawatannya",nan,2011,Triwulan IV,41266.16,2026-07-09 11:56:13.319
175,s20102ptadhkmp2011,Pengeluaran Konsumsi Rumahtangga,"Pakaian, Alas Kaki dan Jasa Perawatannya",nan,2011,Tahunan,162350.14,2026-07-09 11:56:13.319
176,s20102ptadhkmp2011,Pengeluaran Konsumsi Rumahtangga,Perumahan dan Perlengkapan Rumahtangga,nan,2011,Triwulan I,129959.07,2026-07-09 11:56:13.319
177,s20102ptadhkmp2011,Pengeluaran Konsumsi Rumahtangga,Perumahan dan Perlengkapan Rumahtangga,nan,2011,Triwulan II,133798.32,2026-07-09 11:56:13.319
178,s20102ptadhkmp2011,Pengeluaran Konsumsi Rumahtangga,Perumahan dan Perlengkapan Rumahtangga,nan,2011,Triwulan III,139336.73,2026-07-09 11:56:13.319
