tahun,bulan,status,detail,timestamp
2014,JUNI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI-JUNI2014.zip,2026-07-08T12:51:08
2014,MEI,page_found_no_zip,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2014.aspx,2026-07-08T12:51:09
2014,APRIL,page_found_no_zip,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-APRIL-2014.aspx,2026-07-08T12:51:10
2014,MARET,page_found_no_zip,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MARET-2014.aspx,2026-07-08T12:51:12
2014,FEBRUARI,page_found_no_zip,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-FEBRUARI-2014.aspx,2026-07-08T12:51:13
2014,JANUARI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI-Januari2014-thpII.zip,2026-07-08T12:51:31
2013,DESEMBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI-DES2013-rev.zip,2026-07-08T12:51:39
2013,NOVEMBER,page_found_no_zip,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-NOVEMBER-2013.aspx,2026-07-08T12:51:41
2013,OKTOBER,page_found_no_zip,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-OKTOBER-2013.aspx,2026-07-08T12:51:42
2013,SEPTEMBER,page_found_no_zip,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-SEPTEMBER-2013.aspx,2026-07-08T12:51:43
2013,AGUSTUS,page_found_no_zip,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-AGUSTUS-2013.aspx,2026-07-08T12:51:45
2013,JULI,page_found_no_zip,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-JULI-2013.aspx,2026-07-08T12:51:46
2013,JUNI,page_found_no_zip,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-JUNI-2013.aspx,2026-07-08T12:51:47
2013,MEI,page_found_no_zip,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2013.aspx,2026-07-08T12:51:49
2013,APRIL,page_found_no_zip,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-APRIL-2013.aspx,2026-07-08T12:51:50
2013,MARET,page_found_no_zip,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MARET-2013.aspx,2026-07-08T12:51:52
2013,FEBRUARI,page_found_no_zip,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-FEBRUARI-2013.aspx,2026-07-08T12:51:53
2013,JANUARI,page_found_no_zip,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-JANUARI-2013.aspx,2026-07-08T12:51:55
2012,DESEMBER,page_found_no_zip,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2012.aspx,2026-07-08T12:51:56
